run_id,idx,close_time,open,high,low,close,volume,ema_fast_30m,ema_slow_30m,atr_30m,ema_fast_15m,ema_slow_15m,signal,trend_ok,atr_ok,vol_ok
selftest-20251017-190419,0,2025-04-20 19:34:00+00:00,60000.0,60071.7761264273,59989.86620579625,60048.56604957053,26266.80859217121,60048.56604957053,60048.56604957053,,,,0,1,0,1
selftest-20251017-190419,1,2025-04-20 20:04:00+00:00,60048.56604957053,60082.63714676257,59895.30052409571,59935.67665419227,31142.580787014504,60025.988170494886,60038.303377263415,187.3366226668586,,,0,1,1,1
selftest-20251017-190419,2,2025-04-20 20:34:00+00:00,59935.67665419227,60066.59929527204,59929.919859476155,60037.62138995633,19599.107638785892,60028.31481438718,60038.24137841731,162.00802923137235,,,0,1,1,1
selftest-20251017-190419,3,2025-04-20 21:04:00+00:00,60037.62138995633,60174.59556626166,60024.962626750304,60162.56745090522,15259.439661142958,60055.165341690794,60049.54374864348,157.8829993247006,,,1,1,1,1
selftest-20251017-190419,4,2025-04-20 21:34:00+00:00,60162.56745090522,60173.11185616901,59877.634915367584,59939.84139212245,24339.696899012935,60032.10055177713,60039.57080714157,192.2814846938818,,,0,1,1,1
selftest-20251017-190419,5,2025-04-20 22:04:00+00:00,59939.84139212245,60014.26241230826,59768.49429283169,59795.72449419008,20614.78717283987,59984.82534025972,60017.402960509615,202.9788116504191,,,0,1,1,1
selftest-20251017-190419,6,2025-04-20 22:34:00+00:00,59795.72449419008,59833.4144427626,59785.06836507957,59822.972258142945,21456.425332671923,59952.45472383637,59999.72744211265,177.20668932252133,,,0,1,1,1
selftest-20251017-190419,7,2025-04-20 23:04:00+00:00,59822.972258142945,59824.84458707659,59791.62526265635,59797.09970893735,24618.058824189513,59921.38372085657,59981.30673909671,156.63706576505294,,,0,1,1,1
selftest-20251017-190419,8,2025-04-20 23:34:00+00:00,59797.09970893735,59807.80227660921,59796.02712569077,59807.04980789812,20104.95365206741,59898.51693826488,59965.46519989683,138.5293264092261,,,0,1,1,1
selftest-20251017-190419,9,2025-04-21 00:04:00+00:00,59807.04980789812,59819.67322398241,59669.64938747415,59716.97513653026,20873.37298266379,59862.20857791796,59942.87519413623,139.8064941980079,,,0,1,1,1
selftest-20251017-190419,10,2025-04-21 00:34:00+00:00,59716.97513653026,59910.16264881588,59688.14179369788,59833.948505557564,21589.796474270996,59856.55656344588,59932.9727679018,148.02793029000676,,,0,1,1,1
selftest-20251017-190419,11,2025-04-21 01:04:00+00:00,59833.948505557564,59945.24975056561,59816.753352125466,59938.99202048366,29553.302833306283,59873.04365485344,59933.51997268197,146.25233648547345,,,0,1,1,1
